URL de origen,URL de destino,Texto del enlace
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/ubicacion,"
                    Ubicación
                "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/prensa,"
                    Prensa
                "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/contacto,"
                    Contacto
                "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/correspondencias-transmodales,"
                                        
                                                                                Correspondencias Transmodales                                    "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd,"
                                        
                                                                                Análisis y Representación Sensible de Datos (AyRSD)                                    "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/intercambios-transorganicos,"
                                        
                                                                                Intercambios Transorgánicos                                    "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas,"
                                        
                                                                                SIERVA. Tecnociencia al servicio de aberraciones ópticas.                                    "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/noticias/colaboracion-con-el-museo-italiano-de-melbourne/,"
                                
                                                                                Contiendas por la italianidad                                    "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/baile-circular,"
                             
                    
                                Baile circular                            "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/azucena-miralles-memoria-andina-archivo-del-arte-textil-en-buenos-aires-1963-1981,"
                             
                    
                                Azucena Miralles: memoria andina. Archivo del arte textil en Buenos Aires, 1963-1981                            "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/entre-los-tiempos,"
                             
                    
                                Entre los tiempos                            "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/todo-y-nada-estan-ahi-para-ser-dichos,"
                             
                    
                                Todo y nada están ahí para ser dichos                            "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/del-mediterraneo-oriental-al-plata,"
                             
                    
                                Del Mediterráneo oriental al Plata                            "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/muestras/para-todos-los-hombres-del-mundo-2,"
                             
                    
                                Para todos los hombres del mundo                            "
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/noticias/nuevo-vitral-de-luis-felipe-noe-en-muntref-inmigrantes/,"

Nuevo vitral de Luis Felipe Noé en MUNTREF Inmigrantes
Desde el sábado 24 de agosto podrá verse en el Centro de Arte Contemporáneo de la UNTREF el nuevo trabajo de “Yuyo” Noé. El sábado 24 de agosto […]

"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/noticias/exposicion-sobre-la-cultura-lucana-en-el-muntref-inmigrantes/,"

Exposición sobre la cultura lucana en el MUNTREF Inmigrantes
BASILICATË se presenta en el Museo de la Inmigración desde el 25 de agosto y hasta el 29 de septiembre, en paralelo con su exhibición en Nueva York […]

"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/noticias/una-nueva-exposicion-en-el-centro-de-arte-contemporaneo-de-la-untref-recupera-el-arte-textil-argentino-de-la-segunda-mitad-del-siglo-xx-2/,"

Una nueva exposición en el Centro de Arte Contemporáneo de la UNTREF recupera el arte textil argentino de la segunda mitad del siglo XX
La exposición, que lleva por título “Azucena Miralles: memoria andina. Archivo del arte textil en Buenos Aires, 1963-1981”, podrá visitarse desde el sábado 20 de julio en el MUNTREF […]

"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/noticias/desde-junio-dos-nuevas-exposiciones-integran-la-programacion-de-muntref/,"

Desde junio, dos nuevas exposiciones integran la programación de MUNTREF
El 8 se inaugurará en el antiguo Hotel de Inmigrantes la exposición internacional Baile circular, curada por Juliana Caffé y Juliana Gontijo. Y el 15 se presentará en […]

"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/,"

"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/arte-y-naturaleza,"

                    Centro de Arte
                    y Naturaleza
            
"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/arte-y-ciencia,"

                            Centro de
                            Arte y Ciencia
                        
"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/museo-de-la-inmigracion,"

                        Museo de
                        la Inmigración
                    
"
https://untref.edu.ar/muntref/es,https://untref.edu.ar/muntref/es/centro-de-arte-contemporaneo,"

                        Centro de Arte
                        Contemporáneo
                    
"
