SCC ID,URLs
83,['https://untref.edu.ar/events/el-desarrollo-de-argelia-y-su-relacion-con-argentina-y-el-mundo']
84,['https://untref.edu.ar/events/charla-virtual-todos-deberiamos-ser-anfibios-biologias-colaborativas']
85,['https://untref.edu.ar/events/conversatorio-sobre-el-libro-paisajes-del-pasado']
86,['https://untref.edu.ar/events/curso-de-investigacion-de-mercados-con-r']
87,['https://untref.edu.ar/events/data-analytics-como-tomar-decisiones-basados-en-datos']
88,['https://untref.edu.ar/events/festival-vejeces-y-derechos-voces-desde-los-territorios']
89,['https://untref.edu.ar/events/presentacion-del-libro-enfoques-interdisciplinarios-sobre-la-educacion-investigaciones-y-reflexiones-actuales']
90,['https://untref.edu.ar/events/inteligencia-artificial-aplicada-a-la-generacion-de-informacion-para-la-toma-de-decisiones']
91,['https://untref.edu.ar/events/conversatorio-sonido-y-videojuegos']
92,['https://untref.edu.ar/events/segundo-laboratorio-de-industrias-culturales-sociedad-y-ambiente-de-mutua']
93,['https://untref.edu.ar/events/convocatoria-interna-concurso-de-composicion-4']
94,['https://untref.edu.ar/events/violencia-en-el-ambito-laboral-conceptualizacion-y-formas-de-medicion-2']
95,['https://untref.edu.ar/events/salud-imaginarios-y-fronteras-entre-alimentacion-genero-y-tecnologias-digitales-2']
96,['https://untref.edu.ar/events/educacion-financiera-la-importancia-del-mercado-de-capitales-para-financiar-un-desarrollo-economico-sustentable-1']
97,['https://untref.edu.ar/events/seminario-doctoral-nociones-generales-de-estetica-arabiga-y-mudejar']
98,['https://untref.edu.ar/events/i-congreso-internacional-sudamericano-de-historia-del-arte-xvi-jornadas-de-historia-del-arte']
99,['https://untref.edu.ar/events/i-congreso-internacional-sudamericano-de-historia-del-arte-xvi-jornadas-de-historia-del-arte-1']
100,['https://untref.edu.ar/events/i-congreso-internacional-sudamericano-de-historia-del-arte-xvi-jornadas-de-historia-del-arte-2']
101,['https://untref.edu.ar/events/introduccion-a-los-procesos-sociales-cientificos-artisticos-y-culturales-afroamericanos']
102,['https://untref.edu.ar']
103,['https://www.untref.edu.ar/untref-en-cifras']
104,['https://www.untref.edu.ar/llamado-a-concurso-cerrado-de-oposicion-y-antecedentes-para-cubrir-cargos-del-personal-no-docente']
105,['https://www.untref.edu.ar/autoevaluacion-institucional']
106,['https://www.untref.edu.ar/normativa-institucional']
107,['https://www.untref.edu.ar/comunicacion-y-prensa']
108,['https://www.untref.edu.ar/elecciones-untref-2024']
109,['https://www.untref.edu.ar/comite-interdisciplinario-de-violencia-de-g%C3%A9nero']
110,['https://www.untref.edu.ar/untref-saludable']
111,['https://www.untref.edu.ar/covid']
112,['https://www.untref.edu.ar/estudiar-en-untref']
113,['https://www.untref.edu.ar/carreras']
114,['https://www.untref.edu.ar/departamento-de-alumnos']
115,['https://www.untref.edu.ar/posgrados']
116,['https://www.untref.edu.ar/alumnos-de-posgrado']
117,['https://www.untref.edu.ar/catedra-unesco-de-educacion-superior-y-pueblos-indigenas-y-afrodescendientes-en-america-latina']
118,['https://www.untref.edu.ar/secretaria-academica']
